cluster_number,predicate,predicate_description,vars,cluster_size,cluster_predicate,cluster_description
1,System, x is a system,x,33,System, x is a system
1,System4, x is a system,x,33,System, x is a system
1,System13, x is a system,x,33,System, x is a system
1,System22, x is a system,x,33,System, x is a system
1,System23, w is a system,w,33,System, x is a system
1,System34, x is a system,x,33,System, x is a system
1,System35, x is a system,x,33,System, x is a system
1,System45, x is a system,x,33,System, x is a system
1,System52, x is a system,x,33,System, x is a system
1,System64, x is a system,x,33,System, x is a system
1,System66, x is a system,x,33,System, x is a system
1,System68, x is a system,x,33,System, x is a system
1,System41, x is a system,x,33,System, x is a system
1,System0, x is a system,x,33,System, x is a system
1,System3, x is a system,x,33,System, x is a system
1,System9, z is a system,z,33,System, x is a system
1,System10, x is a system,x,33,System, x is a system
1,System14, x is a system,x,33,System, x is a system
1,System17, w is a system,w,33,System, x is a system
1,System20, x is a system,x,33,System, x is a system
1,System24, x is a system,x,33,System, x is a system
1,System36, x is a system,x,33,System, x is a system
1,System46, x is a system,x,33,System, x is a system
1,System53, x is a system,x,33,System, x is a system
1,System55, x is a system,x,33,System, x is a system
1,System57, w is a system,w,33,System, x is a system
1,System62, y is a system,y,33,System, x is a system
1,System70, x is a system,x,33,System, x is a system
1,System74, y is a system,y,33,System, x is a system
1,System75, x is a system,x,33,System, x is a system
1,System85, x is a system,x,33,System, x is a system
1,System56, x is a system,x,33,System, x is a system
1,System63, y is a system,y,33,System, x is a system
2,File, x is a file,x,8,File, x is a file
2,File12, x is a file,x,8,File, x is a file
2,File42, w is a file,w,8,File, x is a file
2,File43, x is a file,x,8,File, x is a file
2,File29, x is a file,x,8,File, x is a file
2,File39, w is a file,w,8,File, x is a file
2,File78, z is a file,z,8,File, x is a file
2,FileType, z is a file type,z,8,File, x is a file
3,Alert, x is an alert,x,4,Alert, x is an alert
3,Alert8, x is an alert,x,4,Alert, x is an alert
3,Alert37, y is an alert,y,4,Alert, x is an alert
3,Alert32, z is an alert,z,4,Alert, x is an alert
4,Baseline, x is a baseline,x,4,Baseline, y is a baseline
4,Baseline25, y is a baseline,y,4,Baseline, y is a baseline
4,Baseline67, y is a baseline,y,4,Baseline, y is a baseline
4,BaselineModel, y is a baseline model,y,4,Baseline, y is a baseline
5,Available, x is available,x,4,Available, x is available
5,Available71, x is available,x,4,Available, x is available
5,Available79, y is available,y,4,Available, x is available
5,Available80, x is available,x,4,Available, x is available
6,Result, y is a result,y,3,Result, y is a result
6,Result18, y is a result,y,3,Result, y is a result
6,Result21, y is a result,y,3,Result, y is a result
7,Log, z is a log,z,3,Log, x is a log
7,Log6, y is a log,y,3,Log, x is a log
7,Log7, x is a log,x,3,Log, x is a log
8,CallStack, y is a call stack,y,3,CallStack, y is a call stack
8,CallStack2, y is a call stack,y,3,CallStack, y is a call stack
8,CallStack1, x is a call stack,x,3,CallStack, y is a call stack
9,Rule, w is a rule,w,3,Rule, w is a rule
9,Rule44, w is a rule,w,3,Rule, w is a rule
9,Rule77, y is a rule,y,3,Rule, w is a rule
10,Session, y is a session,y,3,Session, x is a session
10,Session11, x is a session,x,3,Session, x is a session
10,Session49, x is a session,x,3,Session, x is a session
11,Generates, z generates x,"z,x",3,Generated33, x generates y 
11,Generated33, y generates z,"y,z",3,Generated33, x generates y 
11,Generates38, x generates y ,"x,y",3,Generated33, x generates y 
12,User, x is a user,x,3,User, x is a user
12,User69, z is a user,z,3,User, x is a user
12,User82, x is a user,x,3,User, x is a user
13,Content, x is content,x,3,Content, x is content
13,Content54, y is content,y,3,Content, x is content
13,Content81, x is content,x,3,Content, x is content
14,Subject, y is a subject,y,3,Subject, x is a subject
14,Subject65, x is a subject,x,3,Subject, x is a subject
14,Subject50, x is a subject,x,3,Subject, x is a subject
15,Enabled, x is enabled,x,3,Enabled, x is enabled
15,Enabled48, x is enabled ,x,3,Enabled, x is enabled
15,Enabled73, x is enabled,x,3,Enabled, x is enabled
16,Domain, z is a domain,z,3,Domain, x is a domain name
16,DomainName, y is a domain name,y,3,Domain, x is a domain name
16,DomainName60, x is a domain name,x,3,Domain, x is a domain name
17,URL, x is a URL,x,2,URL, x is a URL
17,URL84, y is a URL,y,2,URL, x is a URL
18,Logged, x is logged,x,2,Logged, x is logged
18,Logged15, x is logged,x,2,Logged, x is logged
19,Verification, z is a verification,z,2,Verification, y is a verification action
19,VerificationAction, y is a verification action,y,2,Verification, y is a verification action
20,TriggeredBy, w is triggered by z ,"w,z",2,Triggered, w is triggered by z 
20,Triggered, x is triggered for y,"x,y",2,Triggered, w is triggered by z 
21,Process, x is a process,x,2,Process, x is a process
21,Process16, x is a process,x,2,Process, x is a process
22,Contains, x contains y ,"x,y",2,Contains, x contains y
22,Contains59, x contains y,"x,y",2,Contains, x contains y
23,Tampering, y is tampered,y,2,Tampering, x is tampered
23,Tampering30, x is tampered,x,2,Tampering, x is tampered
24,Endpoint, x is an endpoint,x,2,Endpoint, x is an endpoint
24,Endpoint86, x is an endpoint,x,2,Endpoint, x is an endpoint
25,Recorded, x is recorded,x,2,Recorded, x is recorded
25,Recorded19, y is recorded ,y,2,Recorded, x is recorded
26,PartOf, y is part of z ,"y,z",2,PartOf, y is part of x 
26,PartOf61, y is part of x ,"y,x",2,PartOf, y is part of x 
27,Host, y is a host,y,2,Host, x is a host
27,Host40, x is a host,x,2,Host, x is a host
28,ResultOf, y is the result of x ,"y,x",2,ResultOf, y is the result of x 
28,ResultOf26, z is the result of y ,"z,y",2,ResultOf, y is the result of x 
29,LoggedIn, y is logged in s ,"y,s",2,LoggedIn, y is logged in s 
29,LoggedIn28, z is logged in s ,"z,s",2,LoggedIn, y is logged in s 
30,Detected31, y detects x,"y,x",2,Detected31, x detects y
30,Detects, x detects y,"x,y",2,Detected31, x detects y
31,Has, x has y ,"x,y",2,Has, w has x
31,Has58, w has x,"w,x",2,Has, w has x
32,DNSQuery, y is a DNS query,y,2,DNSQuery, x is a DNS query
32,DNSQuery51, x is a DNS query,x,2,DNSQuery, x is a DNS query
33,ForDomain, y is for z ,"y,z",2,ForDomain, y is for w 
33,ForSubdomain, y is for w ,"y,w",2,ForDomain, y is for w 
34,HasAccessTo, x has access to y ,"x,y",2,HasAccessTo, x has access to y 
34,HasAccessTo76, x has access to y ,"x,y",2,HasAccessTo, x has access to y 
35,Configured, y is configured,y,2,Configured, x is configured
35,Configured72, x is configured,x,2,Configured, x is configured
36,ConfiguredToGenerateHeartbeat, x is configured to generate heartbeat messages,x,2,ConfiguredToGenerateHeartbeat, x is configured to generate heartbeat messages
36,ConfiguredToTransmitHeartbeatSecurely, x is configured to transmit heartbeat messages securely,x,2,ConfiguredToGenerateHeartbeat, x is configured to generate heartbeat messages
37,HashOf, y is the hash of x,"x, y",1,HashOf, y is the hash of x
38,MalwareHash, z is a known malware hash,z,1,MalwareHash, z is a known malware hash
39,Matches, y matches z,"y, z",1,Matches, y matches z
40,ClassifiedAsMalware, x is classified as malware,x,1,ClassifiedAsMalware, x is classified as malware
41,RecordedInLog, x records y in z ,"x,y,z",1,RecordedInLog, x records y in z 
42,SecureSession, x is a secure session,x,1,SecureSession, x is a secure session
43,Established, x is established,x,1,Established, x is established
44,AccessEvent, y is an access event,y,1,AccessEvent, y is an access event
