cluster_number,predicate,predicate_description,vars,cluster_size
1,System, x is a system,x,33
1,System45, x is a system,x,33
1,System52, x is a system,x,33
1,System55, x is a system,x,33
1,System57, w is a system,w,33
1,System62, y is a system,y,33
1,System0, x is a system,x,33
1,System3, x is a system,x,33
1,System4, x is a system,x,33
1,System9, z is a system,z,33
1,System10, x is a system,x,33
1,System13, x is a system,x,33
1,System14, x is a system,x,33
1,System20, x is a system,x,33
1,System22, x is a system,x,33
1,System23, w is a system,w,33
1,System24, x is a system,x,33
1,System34, x is a system,x,33
1,System35, x is a system,x,33
1,System36, x is a system,x,33
1,System41, x is a system,x,33
1,System46, x is a system,x,33
1,System53, x is a system,x,33
1,System56, x is a system,x,33
1,System63, y is a system,y,33
1,System64, x is a system,x,33
1,System66, x is a system,x,33
1,System68, x is a system,x,33
1,System70, x is a system,x,33
1,System74, y is a system,y,33
1,System75, x is a system,x,33
1,System85, x is a system,x,33
1,System17, w is a system,w,33
2,File, x is a file,x,7
2,File12, x is a file,x,7
2,File39, w is a file,w,7
2,File42, w is a file,w,7
2,File43, x is a file,x,7
2,File78, z is a file,z,7
2,File29, x is a file,x,7
3,Alert, x is an alert,x,4
3,Alert37, y is an alert,y,4
3,Alert8, x is an alert,x,4
3,Alert32, z is an alert,z,4
4,Available, x is available,x,4
4,Available79, y is available,y,4
4,Available80, x is available,x,4
4,Available71, x is available,x,4
5,Result, y is a result,y,3
5,Result18, y is a result,y,3
5,Result21, y is a result,y,3
6,Log, z is a log,z,3
6,Log6, y is a log,y,3
6,Log7, x is a log,x,3
7,CallStack, y is a call stack,y,3
7,CallStack1, x is a call stack,x,3
7,CallStack2, y is a call stack,y,3
8,Rule, w is a rule,w,3
8,Rule44, w is a rule,w,3
8,Rule77, y is a rule,y,3
9,Session, y is a session,y,3
9,Session11, x is a session,x,3
9,Session49, x is a session,x,3
10,Generates, z generates x,"z,x",3
10,Generated33, y generates z,"y,z",3
10,Generates38, x generates y ,"x,y",3
11,User, x is a user,x,3
11,User69, z is a user,z,3
11,User82, x is a user,x,3
12,Baseline, x is a baseline,x,3
12,Baseline25, y is a baseline,y,3
12,Baseline67, y is a baseline,y,3
13,Content, x is content,x,3
13,Content54, y is content,y,3
13,Content81, x is content,x,3
14,Subject, y is a subject,y,3
14,Subject50, x is a subject,x,3
14,Subject65, x is a subject,x,3
15,Enabled, x is enabled,x,3
15,Enabled73, x is enabled,x,3
15,Enabled48, x is enabled ,x,3
16,URL, x is a URL,x,2
16,URL84, y is a URL,y,2
17,Logged, x is logged,x,2
17,Logged15, x is logged,x,2
18,Process, x is a process,x,2
18,Process16, x is a process,x,2
19,Contains, x contains y ,"x,y",2
19,Contains59, x contains y,"x,y",2
20,Tampering, y is tampered,y,2
20,Tampering30, x is tampered,x,2
21,Endpoint, x is an endpoint,x,2
21,Endpoint86, x is an endpoint,x,2
22,Recorded, x is recorded,x,2
22,Recorded19, y is recorded ,y,2
23,PartOf, y is part of z ,"y,z",2
23,PartOf61, y is part of x ,"y,x",2
24,Host, y is a host,y,2
24,Host40, x is a host,x,2
25,ResultOf, y is the result of x ,"y,x",2
25,ResultOf26, z is the result of y ,"z,y",2
26,LoggedIn, y is logged in s ,"y,s",2
26,LoggedIn28, z is logged in s ,"z,s",2
27,Detected31, y detects x,"y,x",2
27,Detects, x detects y,"x,y",2
28,Has, x has y ,"x,y",2
28,Has58, w has x,"w,x",2
29,DNSQuery, y is a DNS query,y,2
29,DNSQuery51, x is a DNS query,x,2
30,ForDomain, y is for z ,"y,z",2
30,ForSubdomain, y is for w ,"y,w",2
31,DomainName, y is a domain name,y,2
31,DomainName60, x is a domain name,x,2
32,HasAccessTo, x has access to y ,"x,y",2
32,HasAccessTo76, x has access to y ,"x,y",2
33,Configured, y is configured,y,2
33,Configured72, x is configured,x,2
34,HashOf, y is the hash of x,"x, y",1
35,MalwareHash, z is a known malware hash,z,1
36,Matches, y matches z,"y, z",1
37,ClassifiedAsMalware, x is classified as malware,x,1
38,RecordedInLog, x records y in z ,"x,y,z",1
39,SecureSession, x is a secure session,x,1
40,Established, x is established,x,1
41,AccessEvent, y is an access event,y,1
42,RelatedTo, y is related to x,"y,x",1
43,AuditLog, z is an audit log,z,1
44,Records, z records y,"z,y",1
45,Timestamp, w is a timestamp,w,1
46,AssociatedWith, y is associated with w,"y,w",1
47,ThreatClassificationScore, y is a threat classification score,y,1
48,ThreatClassificationLabel, y is a threat classification label,y,1
49,AssignedTo, y is assigned to x ,"y,x",1
50,MatchFoundBy, y is a match found by x,y,1
51,DetectionLog, z is a detection log,z,1
52,GeneratedBy, z is generated by x,"z,x",1
53,ShadowCallStack, z is a shadow call stack,z,1
54,MismatchCount, w is a mismatch count,w,1
55,Updates, w is updated,w,1
56,Between, w is mismatch count between y and z,"w,y,z",1
57,ComparedForConsistency, x and y have been compared for consistency,"x,y",1
58,Device, x is a device,x,1
59,LAN, y is a LAN,y,1
60,AllowedConnection, x is allowed to connect to y ,"x,y",1
61,Authenticated, x is authenticated,x,1
62,Authorized, x is authorized,x,1
63,Blocked, x is blocked,x,1
64,Quarantined, x is quarantined,x,1
65,ConversionProcess, x is a conversion process,x,1
66,SourceFormat, y is a source format,y,1
67,SourceOfConversion, y is a source format of x ,"x,y",1
68,TargetFormat, z is a target format,z,1
69,TargetOfConversion, z is a target format of x ,"x,z",1
70,RuleAppliedTo, w is a rule applied to x ,"w,x",1
71,Verification, z is a verification,z,1
72,Firmware, y is a firmware,y,1
73,Verifies, z verifies x and y ,"z,x,y",1
74,Fails, z fails,z,1
75,Response, w is a response,w,1
76,TriggeredBy, w is triggered by z ,"w,z",1
77,Triggers, w is triggered ,w,1
78,ViolatesExpectedLineage, x violates expected lineage,x,1
79,FlaggedAsSuspicious, x is flagged as suspicious,x,1
80,Report, x is a report,x,1
81,Generated, x is generated,x,1
82,MemoryBoundaryTrackingAnalysis, y is a memory boundary tracking analysis,y,1
83,ContentElement, x is a content element,x,1
84,DoesNotConformToSchema, x does not conform to y ,"x,y",1
85,UnlinkedOrUnused, x is unlinked or unused,x,1
86,Discarded, x is discarded,x,1
87,ExceptionHandler, x is an exception handler,x,1
88,MemoryAddress, y is a memory address,y,1
89,Reports, x reports y ,"x,y",1
90,AdaptiveThreatMitigation, y is an adaptive threat mitigation technique,y,1
91,EnabledPostAuthentication, x enables y post-authentication,"x,y",1
92,Logged5, x is logged for y,"x,y",1
93,Triggered, x is triggered for y,"x,y",1
94,IndicatesCompromiseOrUnauthorizedAccess, x indicates compromise or unauthorized access,x,1
95,ClassificationResult, x is a classification result,x,1
96,IsLogged, x is logged in y ,"x,y",1
97,RegistrySetting, x is a registry setting,x,1
98,SecurityRelevant, x is security relevant,x,1
99,Modified, x is modified,x,1
100,Detected, y detects x ,"y, x",1
101,AdministrativeActivity, y is an administrative activity,y,1
102,Suspicious, y is suspicious,y,1
103,Documents, x documents y ,"x,y",1
104,ProfilingEngine, x is a profiling engine,x,1
105,ObservedPayload, z is an observed payload,z,1
106,Feature, y is a measurable feature,y,1
107,ExtractsFeatureFrom, x extracts feature y from z ,"x,y,z",1
108,RoutingPath, y is a routing path,y,1
109,Uses, x uses y ,"x,y",1
110,Secure, y is secure,y,1
111,Validated, y is validated,y,1
112,AnomalousActivityDetected,anomalous activity is detected for x,x,1
113,FlaggedForReview, x is flagged for review,x,1
114,MetadataField, w is a metadata field,w,1
115,Checked, w is a checked field for x ,"w,x",1
116,ConsistentWithFileData, w is consistent with actual data of x ,"w,x",1
117,BehavioralProfile, x is a behavioral profile,x,1
118,DomainAccountActivity, y is domain account activity,y,1
119,NewData, z is new data,z,1
120,ForActivity, x is for activity y,"x,y",1
121,UpdatedWith, x is updated with z,"x,z",1
122,AnomalousCommunication, x is anomalous communication,x,1
123,Alerted, x is alerted,x,1
124,FileSystem, y is a file system,y,1
125,ExternalDevice, z is an external device,z,1
126,RestrictsAccessTo, x restricts access to y ,"x,y",1
127,ComparesSessionStatistics, x compares session statistics across y and z ,"x,y,z",1
128,IdentifiesPattern, x identifies patterns across y and z ,"x,y,z",1
129,ScriptAnalysisResult, x is a result of a script analysis,x,1
130,Certificate, x is a certificate,x,1
131,Source, y is a source,y,1
132,PassivelyCapturedFrom, x is passively captured from y ,"x,y",1
133,EdgeDevice, x is an edge device,x,1
134,InboundFilteringPolicy, y is an inbound filtering policy,y,1
135,Enforces, x enforces y,"x,y",1
136,FileCreateSystemCall, x is a file creation system call,x,1
137,PropertiesExtracted, properties of x have been extracted,x,1
138,PropertiesAnalyzed, properties of x have been analyzed,x,1
139,NonCompliant, x is non-compliant,x,1
140,Unsafe, x is unsafe,x,1
141,Safer, y is safer,y,1
142,SubstitutedWith, x is substituted with y ,"x, y",1
143,PolicyAllows, Policy explicitly allows x to interact with y ,"x,y",1
144,Interacts, x interacts with y ,"x,y",1
145,SessionData, x is session data,x,1
146,NotTampered, x has not been tampered with,x,1
147,ReputationQuery, x is a reputation query,x,1
148,LogsResult, x logs result y,"x,y",1
149,NetworkSessionData, y is network session data,y,1
150,TimeBasedStatistic, z is a time-based statistic,z,1
151,ComputesFrom, x computes z from y ,"x,z,y",1
152,Flagged, x is flagged,x,1
153,ProcessingEnvironment, y is a processing environment,y,1
154,Regular, y is regular,y,1
155,IsolatedFrom, x is isolated from y,"x,y",1
156,CandidateString, x is a candidate string,x,1
157,TrustedString, y is a trusted string,y,1
158,DeceptiveSimilarityDetected, deceptive similarity is detected between x and y ,"x,y",1
159,MatchIdentified, a match between x and y is identified ,"x,y",1
160,MetadataGrouping, x is a metadata grouping,x,1
161,AggregatesStatistics, w aggregates statistics across x,"w,x",1
162,ComputesStatistics, w computes statistics across x,"w,x",1
163,Facility, z is a facility,z,1
164,GrantsAccess, x grants access to y for z,"x,y,z",1
165,DeniesAccess, x denies access to y for z,"x,y,z",1
166,ObservedRatio, x is an observed ratio,x,1
167,SignificantDeviation, deviation between x and y is significant,"x,y",1
168,FlaggedAsAnomaly, x is flagged as anomaly,x,1
169,VerificationAction, y is a verification action,y,1
170,VerificationResult, z is a verification result,z,1
171,Log27, s is a log,s,1
172,StartupEntry, x is a startup entry,x,1
173,ThreatSignature, y is a threat signature,y,1
174,CorrelatedWith, x is correlated with y ,"x,y",1
175,UnexpectedChange, x has unexpected change,x,1
176,Metric, y is a metric,y,1
177,IPC, z is IPC traffic,z,1
178,ExtractsFrom, x extracts y from z ,"x,y,z",1
179,AuthenticationEvent, y is an authentication event,y,1
180,Threshold, z is a threshold,z,1
181,Evaluated, x evaluated y,"x,y",1
182,Exceeds, y exceeds z ,"y,z",1
183,Flag, y is a flag,y,1
184,Extracted, w is extracted,w,1
185,AnalysisTool, x is an analysis tool,x,1
186,PassedTo, w is passed to x,"w,x",1
187,AnalysisWindow, y is an analysis window,y,1
188,ComputesRatio, x computes the ratio of downloaded to uploaded data during y ,"x,y",1
189,NetworkTraffic, y is network traffic,y,1
190,Routable, y is routable,y,1
191,Format, x is a format,x,1
192,ContentScanningEngine, y is a content scanning engine,y,1
193,InFormat, w is in format x ,"w,x",1
194,CanParseAndInspect, y can parse and inspect x ,"y,x",1
195,DigitalSignature, y is a digital signature,y,1
196,ContainsDigitalSignature, x contains y as a digital signature,"x, y",1
197,ReferencesDigitalSignature, x references y as a digital signature,"x, y",1
198,UsableForAuthenticityCheck, y can be used for authenticity check,y,1
199,EventSource, x is an event source,x,1
200,AuthenticationEventLogsAvailable, authentication event logs are available from x ,x,1
201,Policy, w is a policy,w,1
202,Signature, w is a signature,w,1
203,Element, x is an element,x,1
204,DefinesRemovalOf, w defines removal of x ,"w,x",1
205,CredentialRelatedMemoryDump, x is a credential-related memory dump,x,1
206,Accessible, x is accessible,x,1
207,PacketInspection, x is packet inspection,x,1
208,MonitorsTrafficFlows, x monitors traffic flows,x,1
209,Domain, z is a domain,z,1
210,Subdomain, w is a subdomain,w,1
211,ActivelyResolving, x is actively resolving y ,"x,y",1
212,SessionManagementPolicy, y is a session management policy,y,1
213,Enforces47, x enforces y ,"x, y",1
214,RoutingPolicy, x is a routing policy,x,1
215,Traffic, y is traffic,y,1
216,SecurePath, z is a secure path,z,1
217,DirectsThrough, x directs y through z ,"x,y,z",1
218,SecurityModule, x is a security module,x,1
219,CryptographicVerification, y is a cryptographic verification,y,1
220,Performs, x performs y ,"x,y",1
221,DurationMeasurable, the duration of x is measurable,x,1
222,Credential, y is a credential,y,1
223,AccessControlSystem, z is an access control system,z,1
224,Possesses, x possesses y ,"x,y",1
225,Valid, y is valid,y,1
226,RecognizedBy, y is recognized by z ,"y,z",1
227,IssuedFor, x is issued for y ,"x,y",1
228,CommunicationCommunity, y is a communication community,y,1
229,SupportsLogicFor, x supports logic for w ,"x,w",1
230,Clustering, w is clustering a communication community,w,1
231,Identifying, w is identifying a communication community,w,1
232,Scan, z is a scan,z,1
233,Proceeds, z proceeds,z,1
234,RuleSet, x is a rule set,x,1
235,RuleEngine, y is a rule engine,y,1
236,LoadedInto, x is loaded into y ,"x,y",1
237,Form, z is a form,z,1
238,ContentInForm, y is in form z ,"y,z",1
239,FormAllowsInspection, z allows inspection,z,1
240,BaselineBehaviorModel, y is a baseline behavior model,y,1
241,HistoricalData, z is historical data,z,1
242,CanCreateFrom, x can create y from z ,"x, y, z",1
243,WebSystem, x is a web system,x,1
244,AuthenticationMechanism, y is an authentication mechanism,y,1
245,Active, y is active,y,1
246,HasAuthenticationMechanism, x has authentication mechanism y ,"x,y",1
247,CanonicalFormatOrSchema, x is a canonical format or schema,x,1
248,Defined, x is defined,x,1
249,Allows, x allows y,"x,y",1
250,SpecifiesReconstruction, x specifies how z is reconstructed,"x,z",1
251,Kernel, x is a kernel,x,1
252,NativeFeature, y is a native feature,y,1
253,Implements, x implements y ,"x,y",1
254,ProvidesProcessIsolation, y provides process isolation ,y,1
255,IPToGeolocationResolutionEnabled, IP-to-geolocation resolution is enabled in x ,x,1
256,List, x is a list,x,1
257,CriticalSystemFile, y is a critical system file,y,1
258,NetworkActivity, y is a network activity,y,1
259,SystemActivity, y is a system activity,y,1
260,ObservedFrom, x is observed from y ,"x,y",1
261,CapturedFrom, x is captured from y ,"x,y",1
262,Application, x is an application,x,1
263,ExecutionContext, y is an execution context,y,1
264,Tracks, x tracks y ,"x,y",1
265,EnforcesSeparation, x enforces separation for y ,"x,y",1
266,FileSystemActivity, x is related to file system activity,x,1
267,LoggingEnabled, logging of x is enabled,x,1
268,MonitoringEnabled, monitoring of x is enabled,x,1
269,ServiceBinaryFile, x is a service binary file,x,1
270,ToBeVerified, x is to be verified,x,1
271,ExistsOn, x exists on y,"x,y",1
272,Sandbox, y is a sandbox,y,1
273,SystemObservability, x is a system observability mechanism,x,1
274,EnabledIn, x is enabled in y,"x,y",1
275,RecordBehavior, x records behavior,x,1
276,CryptographicHashFunction, x is a cryptographic hash function,x,1
277,AvailableOn, x is available on y ,"x,y",1
278,FunctionalitySupportedBy, x supports functionality y ,"x,y",1
279,ReadsLeadingBytes, y reads the leading bytes of z ,"y,z",1
280,ComparesWithExpectedValue, y compares z with expected value w ,"y,z,w",1
281,MagicNumber, w is a magic number ,w,1
282,PhysicalFacility, y is a physical facility,y,1
283,Request, z is a request,z,1
284,Time, w is a time,w,1
285,InitiatesRequest, x initiates request z,"x,z",1
286,RequestForAccessTo, request z is for access to y,"z,y",1
287,AtTime, request z occurs at w,"z,w",1
288,TypicalRPCOperation, y describes typical RPC operation(s),y,1
289,Maintains, x maintains y,"x,y",1
290,FirewallService, x is a firewall service,x,1
291,Hardened, x is hardened,x,1
292,ConfigurationChange, y is a configuration change,y,1
293,Unauthorized, y is unauthorized,y,1
294,PolicyOrRuleSet, y is a policy or rule set,y,1
295,HasPolicyOrRuleSet, x has policy or rule set y,"x,y",1
296,Group, z is a group,z,1
297,SpecifiesAccess, y specifies access for z,"y,z",1
298,Protocol, y is a protocol,y,1
299,Administrative, y is administrative,y,1
300,Recognizes, x recognizes y ,"x,y",1
301,ForensicTool, x is a forensic tool,x,1
302,AnalyzesMemory, x is able to analyze memory,x,1
303,AnalyzesDisk, x is able to analyze disk contents,x,1
304,JobMonitoring, x is job monitoring,x,1
305,ConfiguredToAllowAccessToExternalReputationServices, y is configured to allow access to external reputation services,y,1
306,FileFormatSpecification, y is a file format specification,y,1
307,FilteringDevice, x is a filtering device,x,1
308,Inbound, y is inbound,y,1
309,CanObserveSourceIP, x can observe the source IP of y ,"x,y",1
310,Administrator, x is an administrator,x,1
311,Defines, x defines y ,"x,y",1
312,Deploys, x deploys y ,"x,y",1
313,DeterminesDenial, y determines z is denied,"y,z",1
314,DeniedExecution, z is denied execution,z,1
315,Hash, x is a hash,x,1
316,ReputationSource, y is a reputation source,y,1
317,CanLookup, y can look up x ,"y,x",1
318,AllowList, x is an allow list,x,1
319,DenyList, x is a deny list,x,1
320,DeviceType, y is a device type,y,1
321,FileType, z is a file type,z,1
322,ConfiguredFor, x is configured for y OR x is configured for z,"x,y / x,z",1
323,IndirectBranchInstruction, x is an indirect branch instruction,x,1
324,ExecutionTraceAvailable, execution trace of x is available,x,1
325,LogAnalysisTool, x is a log analysis tool,x,1
326,DetectsChanges, x detects changes,x,1
327,InfrastructureComponent, x is an infrastructure component,x,1
328,SupportsBroadcastIsolation, x supports broadcast isolation features,x,1
329,DetectedAsHarmful, x is detected as potentially harmful,x,1
330,DetectedAsPolicyViolating, x is detected as policy-violating,x,1
331,BaselineModel, y is a baseline model,y,1
332,TypicalResourceAccessActivity, y describes typical resource access activity for x ,"y,x",1
333,EncryptionMechanism, y is an encryption mechanism,y,1
334,Key, y is a key,y,1
335,Available83, x has y available,"x,y",1
336,Initialized, x has y initialized,"x,y",1
337,Captures, x captures y,"x,y",1
338,Receives, x receives y,"x,y",1
339,ConfiguredToGenerateHeartbeat, x is configured to generate heartbeat messages,x,1
340,ConfiguredToTransmitHeartbeatSecurely, x is configured to transmit heartbeat messages securely,x,1
341,MessageIntegrityEnabled, x has message integrity mechanisms enabled,x,1
