cluster_number,predicate,predicate_description,vars,cluster_size
1,System, x is a system,x,33
1,System4, x is a system,x,33
1,System13, x is a system,x,33
1,System22, x is a system,x,33
1,System23, w is a system,w,33
1,System34, x is a system,x,33
1,System35, x is a system,x,33
1,System45, x is a system,x,33
1,System52, x is a system,x,33
1,System64, x is a system,x,33
1,System66, x is a system,x,33
1,System68, x is a system,x,33
1,System41, x is a system,x,33
1,System0, x is a system,x,33
1,System3, x is a system,x,33
1,System9, z is a system,z,33
1,System10, x is a system,x,33
1,System14, x is a system,x,33
1,System17, w is a system,w,33
1,System20, x is a system,x,33
1,System24, x is a system,x,33
1,System36, x is a system,x,33
1,System46, x is a system,x,33
1,System53, x is a system,x,33
1,System55, x is a system,x,33
1,System57, w is a system,w,33
1,System62, y is a system,y,33
1,System70, x is a system,x,33
1,System74, y is a system,y,33
1,System75, x is a system,x,33
1,System85, x is a system,x,33
1,System56, x is a system,x,33
1,System63, y is a system,y,33
2,File, x is a file,x,8
2,File12, x is a file,x,8
2,File42, w is a file,w,8
2,File43, x is a file,x,8
2,File29, x is a file,x,8
2,File39, w is a file,w,8
2,File78, z is a file,z,8
2,FileType, z is a file type,z,8
3,Alert, x is an alert,x,4
3,Alert8, x is an alert,x,4
3,Alert37, y is an alert,y,4
3,Alert32, z is an alert,z,4
4,Baseline, x is a baseline,x,4
4,Baseline25, y is a baseline,y,4
4,Baseline67, y is a baseline,y,4
4,BaselineModel, y is a baseline model,y,4
5,Available, x is available,x,4
5,Available71, x is available,x,4
5,Available79, y is available,y,4
5,Available80, x is available,x,4
6,Result, y is a result,y,3
6,Result18, y is a result,y,3
6,Result21, y is a result,y,3
7,Log, z is a log,z,3
7,Log6, y is a log,y,3
7,Log7, x is a log,x,3
8,CallStack, y is a call stack,y,3
8,CallStack2, y is a call stack,y,3
8,CallStack1, x is a call stack,x,3
9,Rule, w is a rule,w,3
9,Rule44, w is a rule,w,3
9,Rule77, y is a rule,y,3
10,Session, y is a session,y,3
10,Session11, x is a session,x,3
10,Session49, x is a session,x,3
11,Generates, z generates x,"z,x",3
11,Generated33, y generates z,"y,z",3
11,Generates38, x generates y ,"x,y",3
12,User, x is a user,x,3
12,User69, z is a user,z,3
12,User82, x is a user,x,3
13,Content, x is content,x,3
13,Content54, y is content,y,3
13,Content81, x is content,x,3
14,Subject, y is a subject,y,3
14,Subject65, x is a subject,x,3
14,Subject50, x is a subject,x,3
15,Enabled, x is enabled,x,3
15,Enabled48, x is enabled ,x,3
15,Enabled73, x is enabled,x,3
16,Domain, z is a domain,z,3
16,DomainName, y is a domain name,y,3
16,DomainName60, x is a domain name,x,3
17,URL, x is a URL,x,2
17,URL84, y is a URL,y,2
18,Logged, x is logged,x,2
18,Logged15, x is logged,x,2
19,Verification, z is a verification,z,2
19,VerificationAction, y is a verification action,y,2
20,TriggeredBy, w is triggered by z ,"w,z",2
20,Triggered, x is triggered for y,"x,y",2
21,Process, x is a process,x,2
21,Process16, x is a process,x,2
22,Contains, x contains y ,"x,y",2
22,Contains59, x contains y,"x,y",2
23,Tampering, y is tampered,y,2
23,Tampering30, x is tampered,x,2
24,Endpoint, x is an endpoint,x,2
24,Endpoint86, x is an endpoint,x,2
25,Recorded, x is recorded,x,2
25,Recorded19, y is recorded ,y,2
26,PartOf, y is part of z ,"y,z",2
26,PartOf61, y is part of x ,"y,x",2
27,Host, y is a host,y,2
27,Host40, x is a host,x,2
28,ResultOf, y is the result of x ,"y,x",2
28,ResultOf26, z is the result of y ,"z,y",2
29,LoggedIn, y is logged in s ,"y,s",2
29,LoggedIn28, z is logged in s ,"z,s",2
30,Detected31, y detects x,"y,x",2
30,Detects, x detects y,"x,y",2
31,Has, x has y ,"x,y",2
31,Has58, w has x,"w,x",2
32,DNSQuery, y is a DNS query,y,2
32,DNSQuery51, x is a DNS query,x,2
33,ForDomain, y is for z ,"y,z",2
33,ForSubdomain, y is for w ,"y,w",2
34,HasAccessTo, x has access to y ,"x,y",2
34,HasAccessTo76, x has access to y ,"x,y",2
35,Configured, y is configured,y,2
35,Configured72, x is configured,x,2
36,ConfiguredToGenerateHeartbeat, x is configured to generate heartbeat messages,x,2
36,ConfiguredToTransmitHeartbeatSecurely, x is configured to transmit heartbeat messages securely,x,2
37,HashOf, y is the hash of x,"x, y",1
38,MalwareHash, z is a known malware hash,z,1
39,Matches, y matches z,"y, z",1
40,ClassifiedAsMalware, x is classified as malware,x,1
41,RecordedInLog, x records y in z ,"x,y,z",1
42,SecureSession, x is a secure session,x,1
43,Established, x is established,x,1
44,AccessEvent, y is an access event,y,1
45,RelatedTo, y is related to x,"y,x",1
46,AuditLog, z is an audit log,z,1
47,Records, z records y,"z,y",1
48,Timestamp, w is a timestamp,w,1
49,AssociatedWith, y is associated with w,"y,w",1
50,ThreatClassificationScore, y is a threat classification score,y,1
51,ThreatClassificationLabel, y is a threat classification label,y,1
52,AssignedTo, y is assigned to x ,"y,x",1
53,MatchFoundBy, y is a match found by x,y,1
54,DetectionLog, z is a detection log,z,1
55,GeneratedBy, z is generated by x,"z,x",1
56,ShadowCallStack, z is a shadow call stack,z,1
57,MismatchCount, w is a mismatch count,w,1
58,Updates, w is updated,w,1
59,Between, w is mismatch count between y and z,"w,y,z",1
60,ComparedForConsistency, x and y have been compared for consistency,"x,y",1
61,Device, x is a device,x,1
62,LAN, y is a LAN,y,1
63,AllowedConnection, x is allowed to connect to y ,"x,y",1
64,Authenticated, x is authenticated,x,1
65,Authorized, x is authorized,x,1
66,Blocked, x is blocked,x,1
67,Quarantined, x is quarantined,x,1
68,ConversionProcess, x is a conversion process,x,1
69,SourceFormat, y is a source format,y,1
70,SourceOfConversion, y is a source format of x ,"x,y",1
71,TargetFormat, z is a target format,z,1
72,TargetOfConversion, z is a target format of x ,"x,z",1
73,RuleAppliedTo, w is a rule applied to x ,"w,x",1
74,Firmware, y is a firmware,y,1
75,Verifies, z verifies x and y ,"z,x,y",1
76,Fails, z fails,z,1
77,Response, w is a response,w,1
78,Triggers, w is triggered ,w,1
79,ViolatesExpectedLineage, x violates expected lineage,x,1
80,FlaggedAsSuspicious, x is flagged as suspicious,x,1
81,Report, x is a report,x,1
82,Generated, x is generated,x,1
83,MemoryBoundaryTrackingAnalysis, y is a memory boundary tracking analysis,y,1
84,ContentElement, x is a content element,x,1
85,DoesNotConformToSchema, x does not conform to y ,"x,y",1
86,UnlinkedOrUnused, x is unlinked or unused,x,1
87,Discarded, x is discarded,x,1
88,ExceptionHandler, x is an exception handler,x,1
89,MemoryAddress, y is a memory address,y,1
90,Reports, x reports y ,"x,y",1
91,AdaptiveThreatMitigation, y is an adaptive threat mitigation technique,y,1
92,EnabledPostAuthentication, x enables y post-authentication,"x,y",1
93,Logged5, x is logged for y,"x,y",1
