"some x : everything, y : everything | System[x] && NetworkTraffic[y] && Routable[y] && Has[x,y]","['System', 'NetworkTraffic', 'Routable', 'Has']","['x', 'y', 'y', 'x,y']","[' x is a system', ' y is network traffic', ' y is routable', ' x has y ']"
"all w : everything | File[w] => (some x : everything, y : everything | Format[x] && ContentScanningEngine[y] && InFormat[w, x] && CanParseAndInspect[y, x])","['File', 'Format', 'ContentScanningEngine', 'InFormat', 'CanParseAndInspect']","['w', 'x', 'y', 'w,x', 'y,x']","[' w is a file', ' x is a format', ' y is a content scanning engine', ' w is in format x ', ' y can parse and inspect x ']"
"all x : everything | File[x] => (some y : everything | DigitalSignature[y] && UsableForAuthenticityCheck[y] && (ContainsDigitalSignature[x, y] || ReferencesDigitalSignature[x, y]))","['File', 'DigitalSignature', 'ContainsDigitalSignature', 'ReferencesDigitalSignature', 'UsableForAuthenticityCheck']","['x', 'y', 'x, y', 'x, y', 'y']","[' x is a file', ' y is a digital signature', ' x contains y as a digital signature', ' x references y as a digital signature', ' y can be used for authenticity check']"
some x : everything | EventSource[x] && AuthenticationEventLogsAvailable[x],"['EventSource', 'AuthenticationEventLogsAvailable']","['x', 'x']","[' x is an event source', ' authentication event logs are available from x ']"
"some w : everything, x : everything | (Rule[w] || Policy[w] || Signature[w]) && Element[x] && DefinesRemovalOf[w,x]","['Rule', 'Policy', 'Signature', 'Element', 'DefinesRemovalOf']","['w', 'w', 'w', 'x', 'w,x']","[' w is a rule', ' w is a policy', ' w is a signature', ' x is an element', ' w defines removal of x ']"
all x : everything | CredentialRelatedMemoryDump[x] => Accessible[x],"['CredentialRelatedMemoryDump', 'Accessible']","['x', 'x']","[' x is a credential-related memory dump', ' x is accessible']"
all x : everything | (PacketInspection[x] && MonitorsTrafficFlows[x]) implies Enabled[x],"['PacketInspection', 'MonitorsTrafficFlows', 'Enabled']","['x', 'x', 'x']","[' x is packet inspection', ' x monitors traffic flows', ' x is enabled']"
"all y : everything, z : everything, w : everything | DNSQuery[y] && ( (Domain[z] && ForDomain[y,z]) || (Subdomain[w] && ForSubdomain[y,w]) ) implies some x : everything | System[x] && ActivelyResolving[x,y]","['System', 'DNSQuery', 'Domain', 'Subdomain', 'ForDomain', 'ForSubdomain', 'ActivelyResolving']","['x', 'y', 'z', 'w', 'y,z', 'y,w', 'x,y']","[' x is a system', ' y is a DNS query', ' z is a domain', ' w is a subdomain', ' y is for z ', ' y is for w ', ' x is actively resolving y ']"
"some x : everything, y : everything | System[x] && SessionManagementPolicy[y] && Enforces[x, y]","['System', 'SessionManagementPolicy', 'Enforces']","['x', 'y', 'x, y']","[' x is a system', ' y is a session management policy', ' x enforces y ']"
"all x : everything, y : everything | RoutingPolicy[x] && Traffic[y] => some z : everything | SecurePath[z] && DirectsThrough[x,y,z]","['RoutingPolicy', 'Traffic', 'SecurePath', 'DirectsThrough']","['x', 'y', 'z', 'x,y,z']","[' x is a routing policy', ' y is traffic', ' z is a secure path', ' x directs y through z ']"
"all x : everything, y : everything | (SecurityModule[x] && CryptographicVerification[y] && Performs[x, y]) implies Enabled[x]","['SecurityModule', 'CryptographicVerification', 'Performs', 'Enabled']","['x', 'y', 'x,y', 'x']","[' x is a security module', ' y is a cryptographic verification', ' x performs y ', ' x is enabled ']"
all x : everything | Session[x] implies DurationMeasurable[x],"['Session', 'DurationMeasurable']","['x', 'x']","[' x is a session', ' the duration of x is measurable']"
