D3-CIA-SS1,(system_state) The container image is labeled with vulnerability and misconfiguration results.,Analyzing a Container Image with respect to a set of policies.
D3-CIA-SS2,"(system_state) If non-compliant, the image may be blocked from deployment by an admission controller.",Analyzing a Container Image with respect to a set of policies.
D3-CI-SS1,(system_state) Configuration of a system component has been recorded.,Configuration inventory identifies and records the configuration of software and hardware and their components throughout the organization.
D3-CI-SS2,(system_state) A centralized inventory of configuration data exists across the organization.,Configuration inventory identifies and records the configuration of software and hardware and their components throughout the organization.
D3-DI-SS1,"(system_state) The schemas, formats, volumes, and locations of data have been recorded.","Data inventorying identifies and records the schemas, formats, volumes, and locations of data stored and used on the organization's architecture."
D3-DI-SS2,(system_state) A centralized data inventory exists for the organization.,"Data inventorying identifies and records the schemas, formats, volumes, and locations of data stored and used on the organization's architecture."
D3-HCI-SS1,(system_state) The list of hardware components has been recorded for the system.,Hardware component inventorying identifies and records the hardware items in the organization's architecture.
D3-HCI-SS2,(system_state) A centralized hardware inventory is now available for the organization.,Hardware component inventorying identifies and records the hardware items in the organization's architecture.
D3-NNI-SS1,(system_state) Network nodes and their metadata have been recorded for the specified segment.,"Network node inventorying identifies and records all the network nodes (hosts, routers, switches, firewalls, etc.) in the organization's architecture."
D3-NNI-SS2,(system_state) A centralized inventory of network nodes is now available across the organization.,"Network node inventorying identifies and records all the network nodes (hosts, routers, switches, firewalls, etc.) in the organization's architecture."
D3-SI-SS1,(system_state) The installed software components on the system have been recorded.,Software inventorying identifies and records the software items in the organization's architecture.
D3-SI-SS2,(system_state) A centralized software inventory exists across the organization.,Software inventorying identifies and records the software items in the organization's architecture.
D3-ALLM-SS1,(system_state) Logical links between network nodes have been discovered and recorded.,"Active logical link mapping sends and receives network traffic as a means to map the whole data link layer, where the links represent logical data flows rather than physical connection."
D3-ALLM-SS2,(system_state) A logical topology of the organization's network is now available.,"Active logical link mapping sends and receives network traffic as a means to map the whole data link layer, where the links represent logical data flows rather than physical connection."
D3-PLLM-SS1,(system_state) Logical data flows between network devices have been inferred from passive monitoring.,"Passive logical link mapping only listens to network traffic as a means to map the the whole data link layer, where the links represent logical data flows rather than physical connections."
D3-PLLM-SS2,(system_state) A passive logical network topology is available based on observed traffic.,"Passive logical link mapping only listens to network traffic as a means to map the the whole data link layer, where the links represent logical data flows rather than physical connections."
D3-NTPM-SS1,(system_state) Allowed network flows at various layers have been identified and documented.,"Network traffic policy mapping identifies and models the allowed pathways of data at the network, transport, and/or application levels."
D3-NTPM-SS2,(system_state) A comprehensive network traffic policy model now exists for the organization.,"Network traffic policy mapping identifies and models the allowed pathways of data at the network, transport, and/or application levels."
D3-APLM-SS1,(system_state) Physical links between network devices have been discovered and documented.,Active physical link mapping sends and receives network traffic as a means to map the physical layer.
D3-APLM-SS2,(system_state) A comprehensive physical network topology is now available to the organization.,Active physical link mapping sends and receives network traffic as a means to map the physical layer.
D3-DPLM-SS1,(system_state) Physical links between network devices have been manually recorded.,Direct physical link mapping creates a physical link map by direct observation and recording of the physical network links.
D3-DPLM-SS2,(system_state) A physical topology map based on direct observation is now available to the organization.,Direct physical link mapping creates a physical link map by direct observation and recording of the physical network links.
D3-AM-SS1,"(system_state) Access permissions have been recorded for users, groups, and systems.","Access modeling identifies and records the access permissions granted to administrators, users, groups, and systems."
D3-AM-SS2,"(system_state) An access control model is now available for auditing, validation, or policy design.","Access modeling identifies and records the access permissions granted to administrators, users, groups, and systems."
D3-ODM-SS1,(system_state) Dependencies between operational activities and performers have been recorded.,"Operational dependency mapping identifies and models the dependencies of the organization's activities on each other and on the organization's performers (people, systems, and services.) This may include modeling the higher- and lower-level activities of an organization forming a hierarchy, or layering, of the dependencies in an organization's activities."
D3-ODM-SS2,(system_state) A structured operational dependency model is now available.,"Operational dependency mapping identifies and models the dependencies of the organization's activities on each other and on the organization's performers (people, systems, and services.) This may include modeling the higher- and lower-level activities of an organization forming a hierarchy, or layering, of the dependencies in an organization's activities."
D3-ORA-SS1,(system_state) Risks to specific operational activities and dependencies have been identified and modeled.,"Operational risk assessment identifies and models the vulnerabilities of, and risks to, an organization's activities individually and as a whole."
D3-ORA-SS2,(system_state) A comprehensive operational risk model now exists.,"Operational risk assessment identifies and models the vulnerabilities of, and risks to, an organization's activities individually and as a whole."
D3-OM-SS1,"(system_state) Relationships between personnel, roles, and groups have been documented.","Organization mapping identifies and models the people, roles, and groups within an organization and the relations between them."
D3-OM-SS2,(system_state) An organizational model is now available for analysis or operational use.,"Organization mapping identifies and models the people, roles, and groups within an organization and the relations between them."
D3-DEM-SS1,(system_state) Modeled data exchanges between systems have been recorded and structured.,"Data exchange mapping identifies and models the organization's intended design for the flows of the data types, formats, and volumes between systems at the application layer."
D3-DEM-SS2,(system_state) A model of application-layer data flows is now available for validation or operational use.,"Data exchange mapping identifies and models the organization's intended design for the flows of the data types, formats, and volumes between systems at the application layer."
D3-SVCDM-SS1,(system_state) Dependencies between services have been documented and linked.,Service dependency mapping determines the services on which each given service relies.
D3-SVCDM-SS2,(system_state) A model of service dependencies is now available to the organization.,Service dependency mapping determines the services on which each given service relies.
D3-SYSDM-SS1,(system_state) System-level dependencies between components have been mapped.,System dependency mapping identifies and models the dependencies of system components on each other to carry out their function.
D3-SYSDM-SS2,(system_state) A system dependency model is now available to support organizational analysis and decision-making.,System dependency mapping identifies and models the dependencies of system components on each other to carry out their function.
D3-SYSVA-SS1,(system_state) System-wide vulnerabilities and risks have been assessed and documented.,"System vulnerability assessment relates all the vulnerabilities of a system's components in the context of their configuration and internal dependencies and can also include assessing risk emerging from the system's design as a whole, not just the sum of individual component vulnerabilities."
D3-SYSVA-SS2,(system_state) A system-level vulnerability profile is now available for mitigation planning.,"System vulnerability assessment relates all the vulnerabilities of a system's components in the context of their configuration and internal dependencies and can also include assessing risk emerging from the system's design as a whole, not just the sum of individual component vulnerabilities."
D3-BAN-SS1,(system_state) The user's identity has been successfully verified using biometric measures,Using biological measures in order to authenticate a user.
D3-BAN-SS2,(system_state) A new authenticated session is created for the user after successful biometric authentication,Using biological measures in order to authenticate a user.
D3-CBAN-I1,(input) Certificate validity of user verified successfully,Requiring a digital certificate in order to authenticate a user.
D3-CBAN-SS2,(system_state) User is authenticated and a trusted channel is established between the user and system,Requiring a digital certificate in order to authenticate a user.
