D3-CIA-I1,(input) The container image must be available for analysis.,Analyzing a Container Image with respect to a set of policies.
D3-CIA-I2,(input) The set of security policies to evaluate the image must be defined.,Analyzing a Container Image with respect to a set of policies.
D3-CIA-C3,(config) The system must have access to a vulnerability or misconfiguration database.,Analyzing a Container Image with respect to a set of policies.
D3-CIA-C4,(config) The admission controller must be enabled in the container orchestration platform.,Analyzing a Container Image with respect to a set of policies.
D3-CI-I1,(input) Access to the target system must be available to retrieve configuration data.,Configuration inventory identifies and records the configuration of software and hardware and their components throughout the organization.
D3-CI-I2,(input) The system components to be inventoried must be discovered.,Configuration inventory identifies and records the configuration of software and hardware and their components throughout the organization.
D3-CI-C3,(config) The configuration inventory tool must be operational and properly configured.,Configuration inventory identifies and records the configuration of software and hardware and their components throughout the organization.
D3-DI-I1,(input) The systems or data storage components must be identified for scanning.,"Data inventorying identifies and records the schemas, formats, volumes, and locations of data stored and used on the organization's architecture."
D3-DI-I2,(input) Permissions to access and inspect the data repositories must be granted.,"Data inventorying identifies and records the schemas, formats, volumes, and locations of data stored and used on the organization's architecture."
D3-DI-C3,(config) A data discovery tool must be properly configured and operational.,"Data inventorying identifies and records the schemas, formats, volumes, and locations of data stored and used on the organization's architecture."
D3-HCI-I1,(input) The target systems or endpoints must be identified for inspection.,Hardware component inventorying identifies and records the hardware items in the organization's architecture.
D3-HCI-I2,(input) Access to the systems must be available to collect hardware component data.,Hardware component inventorying identifies and records the hardware items in the organization's architecture.
D3-HCI-C3,(config) A hardware inventory tool or script must be configured and ready to run.,Hardware component inventorying identifies and records the hardware items in the organization's architecture.
D3-NNI-I1,(input) The network segments or IP ranges must be identified for scanning.,"Network node inventorying identifies and records all the network nodes (hosts, routers, switches, firewalls, etc.) in the organization's architecture."
D3-NNI-I2,(input) Network access must be available to scan or query devices.,"Network node inventorying identifies and records all the network nodes (hosts, routers, switches, firewalls, etc.) in the organization's architecture."
D3-NNI-C3,(config) A network inventory tool or script must be configured and operational.,"Network node inventorying identifies and records all the network nodes (hosts, routers, switches, firewalls, etc.) in the organization's architecture."
D3-SI-I1,(input) The systems or endpoints must be identified before performing software discovery.,Software inventorying identifies and records the software items in the organization's architecture.
D3-SI-I2,(input) Access to the system must be available to retrieve installed software information.,Software inventorying identifies and records the software items in the organization's architecture.
D3-SI-C3,(config) A tool or script must be configured and operational to collect software inventory data.,Software inventorying identifies and records the software items in the organization's architecture.
D3-ALLM-I1,(input) Target network segments or endpoints must be identified for logical link mapping.,"Active logical link mapping sends and receives network traffic as a means to map the whole data link layer, where the links represent logical data flows rather than physical connection."
D3-ALLM-I2,(input) Permissions must be granted to send active probing traffic such as SNMP or traceroute.,"Active logical link mapping sends and receives network traffic as a means to map the whole data link layer, where the links represent logical data flows rather than physical connection."
D3-ALLM-C3,(config) Link-layer discovery protocols such as LLDP must be enabled on network devices.,"Active logical link mapping sends and receives network traffic as a means to map the whole data link layer, where the links represent logical data flows rather than physical connection."
D3-ALLM-C4,(config) Network monitoring tools must be configured to collect and aggregate logical link data.,"Active logical link mapping sends and receives network traffic as a means to map the whole data link layer, where the links represent logical data flows rather than physical connection."
D3-PLLM-I1,(input) The network segments to be monitored passively must be identified.,"Passive logical link mapping only listens to network traffic as a means to map the the whole data link layer, where the links represent logical data flows rather than physical connections."
D3-PLLM-I2,(input) Sufficient network traffic must be observable in the target segment.,"Passive logical link mapping only listens to network traffic as a means to map the the whole data link layer, where the links represent logical data flows rather than physical connections."
D3-PLLM-C3,(config) Passive monitoring tools or sensors must be deployed and configured.,"Passive logical link mapping only listens to network traffic as a means to map the the whole data link layer, where the links represent logical data flows rather than physical connections."
D3-PLLM-C4,(config) Switch span or mirror ports must be configured to duplicate traffic to the monitoring tool.,"Passive logical link mapping only listens to network traffic as a means to map the the whole data link layer, where the links represent logical data flows rather than physical connections."
D3-NTPM-I1,"(input) The network segments, endpoints, or applications to assess must be identified.","Network traffic policy mapping identifies and models the allowed pathways of data at the network, transport, and/or application levels."
D3-NTPM-I2,(input) Current or historical network traffic data must be available for analysis.,"Network traffic policy mapping identifies and models the allowed pathways of data at the network, transport, and/or application levels."
D3-NTPM-C3,"(config) Firewall, IPS, DLP, or web security gateway tools must be configured and in place.","Network traffic policy mapping identifies and models the allowed pathways of data at the network, transport, and/or application levels."
D3-NTPM-C4,(config) The security or policy system must support policy export or introspection.,"Network traffic policy mapping identifies and models the allowed pathways of data at the network, transport, and/or application levels."
D3-APLM-I1,(input) The physical network segments or nodes must be identified before mapping.,Active physical link mapping sends and receives network traffic as a means to map the physical layer.
D3-APLM-I2,(input) Permission must be granted to transmit active probing traffic for discovery.,Active physical link mapping sends and receives network traffic as a means to map the physical layer.
D3-APLM-C3,(config) Link-layer discovery protocols (LLDP or CDP) must be enabled on target devices.,Active physical link mapping sends and receives network traffic as a means to map the physical layer.
D3-APLM-C4,(config) The mapping tool must be configured to interpret and record physical link responses.,Active physical link mapping sends and receives network traffic as a means to map the physical layer.
D3-DPLM-I1,(input) Physical access to the network infrastructure must be granted.,Direct physical link mapping creates a physical link map by direct observation and recording of the physical network links.
D3-DPLM-I2,(input) The list of devices to inspect must be identified before tracing links.,Direct physical link mapping creates a physical link map by direct observation and recording of the physical network links.
D3-DPLM-C3,(config) Cabling and labeling standards should be in place to facilitate accurate manual mapping.,Direct physical link mapping creates a physical link map by direct observation and recording of the physical network links.
D3-DPLM-C4,(config) A tool or method for documenting physical link observations must be available.,Direct physical link mapping creates a physical link map by direct observation and recording of the physical network links.
D3-AM-I1,"(input) Users, groups, systems, and roles must be identified across the organization.","Access modeling identifies and records the access permissions granted to administrators, users, groups, and systems."
D3-AM-I2,(input) Access control data must be available from the relevant source systems.,"Access modeling identifies and records the access permissions granted to administrators, users, groups, and systems."
D3-AM-C3,(config) An access modeling tool must be configured to collect and model access control data.,"Access modeling identifies and records the access permissions granted to administrators, users, groups, and systems."
D3-AM-C4,(config) Access control systems must support export or API access to permissions data.,"Access modeling identifies and records the access permissions granted to administrators, users, groups, and systems."
D3-ODM-I1,(input) The organization's operational activities must be identified.,"Operational dependency mapping identifies and models the dependencies of the organization's activities on each other and on the organization's performers (people, systems, and services.) This may include modeling the higher- and lower-level activities of an organization forming a hierarchy, or layering, of the dependencies in an organization's activities."
D3-ODM-I2,"(input) The people, systems, and services involved in operations must be known.","Operational dependency mapping identifies and models the dependencies of the organization's activities on each other and on the organization's performers (people, systems, and services.) This may include modeling the higher- and lower-level activities of an organization forming a hierarchy, or layering, of the dependencies in an organization's activities."
D3-ODM-C3,(config) A modeling tool must be configured to capture operational dependencies.,"Operational dependency mapping identifies and models the dependencies of the organization's activities on each other and on the organization's performers (people, systems, and services.) This may include modeling the higher- and lower-level activities of an organization forming a hierarchy, or layering, of the dependencies in an organization's activities."
D3-ODM-C4,"(config) Data sources such as org charts, workflow platforms, or service catalogs must be accessible.","Operational dependency mapping identifies and models the dependencies of the organization's activities on each other and on the organization's performers (people, systems, and services.) This may include modeling the higher- and lower-level activities of an organization forming a hierarchy, or layering, of the dependencies in an organization's activities."
D3-ORA-I1,(input) The organization’s operational activities and dependencies must be identified.,"Operational risk assessment identifies and models the vulnerabilities of, and risks to, an organization's activities individually and as a whole."
D3-ORA-I2,(input) Documented threats and vulnerabilities must be available.,"Operational risk assessment identifies and models the vulnerabilities of, and risks to, an organization's activities individually and as a whole."
D3-ORA-I3,(input) The criticality of organizational assets and systems must be defined.,"Operational risk assessment identifies and models the vulnerabilities of, and risks to, an organization's activities individually and as a whole."
D3-ORA-C4,(config) A risk modeling or assessment tool must be configured.,"Operational risk assessment identifies and models the vulnerabilities of, and risks to, an organization's activities individually and as a whole."
D3-OM-I1,"(input) People, groups, and roles in the organization must be identified.","Organization mapping identifies and models the people, roles, and groups within an organization and the relations between them."
D3-OM-I2,(input) Organizational relationships or hierarchies must be obtainable from internal sources.,"Organization mapping identifies and models the people, roles, and groups within an organization and the relations between them."
D3-OM-C3,(config) An organization mapping tool must be available and configured for use.,"Organization mapping identifies and models the people, roles, and groups within an organization and the relations between them."
D3-DEM-I1,(input) The systems or applications that exchange data must be identified.,"Data exchange mapping identifies and models the organization's intended design for the flows of the data types, formats, and volumes between systems at the application layer."
D3-DEM-I2,"(input) Data types, formats, and volumes involved in exchanges must be known.","Data exchange mapping identifies and models the organization's intended design for the flows of the data types, formats, and volumes between systems at the application layer."
D3-DEM-C3,(config) Tools must be configured to capture or model application-layer data exchanges.,"Data exchange mapping identifies and models the organization's intended design for the flows of the data types, formats, and volumes between systems at the application layer."
D3-DEM-C4,(config) Integration specifications or data exchange documentation must be accessible.,"Data exchange mapping identifies and models the organization's intended design for the flows of the data types, formats, and volumes between systems at the application layer."
D3-SVCDM-I1,(input) Services and their consumers must be identified and documented.,Service dependency mapping determines the services on which each given service relies.
D3-SVCDM-I2,(input) Documented or observed inter-service communications must be available.,Service dependency mapping determines the services on which each given service relies.
D3-SVCDM-C3,(config) Tracing or service mapping tools must be configured and operational.,Service dependency mapping determines the services on which each given service relies.
D3-SVCDM-C4,(config) Metadata sources like service registries or configuration files must be accessible.,Service dependency mapping determines the services on which each given service relies.
D3-SYSDM-I1,(input) All relevant system components must be identified.,System dependency mapping identifies and models the dependencies of system components on each other to carry out their function.
D3-SYSDM-I2,(input) Functional or architectural relationships between components must be available.,System dependency mapping identifies and models the dependencies of system components on each other to carry out their function.
D3-SYSDM-C3,(config) A system dependency mapping tool must be configured and operational.,System dependency mapping identifies and models the dependencies of system components on each other to carry out their function.
D3-SYSDM-C4,(config) Access to architecture diagrams or documentation must be available.,System dependency mapping identifies and models the dependencies of system components on each other to carry out their function.
D3-SYSVA-I1,(input) System components and configurations must be identified before performing assessment.,"System vulnerability assessment relates all the vulnerabilities of a system's components in the context of their configuration and internal dependencies and can also include assessing risk emerging from the system's design as a whole, not just the sum of individual component vulnerabilities."
D3-SYSVA-I2,(input) Known vulnerability data must be available for the system's components.,"System vulnerability assessment relates all the vulnerabilities of a system's components in the context of their configuration and internal dependencies and can also include assessing risk emerging from the system's design as a whole, not just the sum of individual component vulnerabilities."
D3-SYSVA-I3,(input) A system dependency model must be available to assess contextual and compound risks.,"System vulnerability assessment relates all the vulnerabilities of a system's components in the context of their configuration and internal dependencies and can also include assessing risk emerging from the system's design as a whole, not just the sum of individual component vulnerabilities."
D3-SYSVA-C4,(config) The system vulnerability assessment tool must be configured to analyze multiple sources of risk.,"System vulnerability assessment relates all the vulnerabilities of a system's components in the context of their configuration and internal dependencies and can also include assessing risk emerging from the system's design as a whole, not just the sum of individual component vulnerabilities."
D3-BAN-I1,(input) Biological data for the user must be available and readable for authentication,Using biological measures in order to authenticate a user.
D3-BAN-I2,(input) The user must initiate the authentication process to trigger biometric verification,Using biological measures in order to authenticate a user.
D3-BAN-C3,(config) The system must have biometric authentication enabled and configured appropriately,Using biological measures in order to authenticate a user.
D3-BAN-C4,(config) The user's biometric data must have been previously registered and stored securely in the system,Using biological measures in order to authenticate a user.
D3-CBAN-I1,(input) Digital certificate is present for the user,Requiring a digital certificate in order to authenticate a user.
D3-CBAN-I2,(input) User possesses valid cryptographic public and private keys,Requiring a digital certificate in order to authenticate a user.
D3-CBAN-C3,"(config) Secure private key storage, certificate revocation checks, and mutual authentication are configured in the system",Requiring a digital certificate in order to authenticate a user.
D3-MFA-I1,(input) The user must provide at least two different credentials for authentication,Requiring proof of two or more pieces of evidence in order to authenticate a user.
D3-MFA-I2,"(input) Credentials provided must belong to distinct categories (knowledge, possession, biometrics)",Requiring proof of two or more pieces of evidence in order to authenticate a user.
D3-MFA-C3,(config) Multi-factor authentication must be enabled and properly configured on the account,Requiring proof of two or more pieces of evidence in order to authenticate a user.
D3-PWA-I1,(input) Credentials for the user exist in the system,"Password authentication is a security mechanism used to verify the identity of a user or entity attempting to access a system or resource by requiring the input of a secret string of characters, known as a password, that is associated with the user or entity."
